ITEM,concatenation_description,synapse_quantity_allocable,e1_quantity,STATUS,e1_quantity_hard_commit,e1_quantity_soft_commit,synapse_quantity,synapse_quantity_tasked
60-115-19-03-82,T-SHIRT - NINE LOGO - SM - MID - NIGHT NAVY,1,1,,0,1,1,0
60-116-15-03-80,T-Shirt - Nine Logo Tech Tee - - SM - Black Aqua,44,44,,0,0,44,
60-116-15-04-80,T-Shirt - Nine Logo Tech Tee - - MD - Black Aqua,79,79,,0,0,79,
60-116-15-05-80,T-Shirt - Nine Logo Tech Tee - - LG- Black Aqua,67,67,,0,0,67,
60-116-15-06-80,T-Shirt - Nine Logo Tech Tee - - XL - Black Aqua,51,52,,0,2,52,
60-116-15-07-80,T-Shirt - Nine Logo Tech Tee - - XXL - Black Aqua,21,21,,0,0,21,
60-116-20-03-70,T-Shirt - Nine Logo Tech Tee - - SM - Forest Green,34,34,,0,0,34,
60-116-20-04-70,T-Shirt - Nine Logo Tech Tee - - MD - Forest Green,55,55,,0,0,55,
60-116-20-05-70,T-Shirt - Nine Logo Tech Tee - - LG - Forest Green,57,58,,0,1,58,
60-116-20-06-70,T-Shirt - Nine Logo Tech Tee - - XL - Forest Green,66,66,,0,1,66,
60-116-20-07-70,T-Shirt - Nine Logo Tech Tee - - XXL - Forest Green,20,20,,0,0,20,
60-120-20-03-40,SHIRT - NINER 9 LOGO FLANNEL - - Red flannel - S,23,23,,0,0,23,
60-120-20-04-40,SHIRT - NINER 9 LOGO FLANNEL - - Red flannel - M,47,47,,0,0,47,
60-120-20-05-40,SHIRT - NINER 9 LOGO FLANNEL - - Red flannel - Lg,50,51,,1,0,51,1
60-120-20-06-40,SHIRT - NINER 9 LOGO FLANNEL - - Red flannel - XL,17,17,,0,0,17,
60-140-14-03-20,T-SHIRT - CALIRADO - SMALL - B - LACK,13,13,,0,5,13,
60-144-14-03-83,T-SHIRT - FRONT RANGER - SMALL - - INDIGO,4,4,,0,0,4,
60-144-14-04-83,T-SHIRT - FRONT RANGER - MEDIU - M - INDIGO,3,3,,0,0,3,
60-144-14-07-83,T-SHIRT - FRONT RANGER - XX-LA - RGE - INDIGO,4,4,,0,0,4,
60-147-14-03-28,T-SHIRT - LONG SLEEVE - FRONT - RANGER - WOMENS - SM- CHARCOAL,2,2,,0,0,2,
60-148-20-03-25,T-Shirt - Nine Shades of Grey - - SM - Charcoal,49,49,,0,0,49,
60-148-20-04-25,T-Shirt - Nine Shades of Grey - - MD - Charcoal,101,101,,0,0,101,
60-148-20-05-25,T-Shirt - Nine Shades of Grey - - LG - Charcoal,102,102,,0,0,102,
60-148-20-06-25,T-Shirt - Nine Shades of Grey - - XL - Charcoal,83,83,,0,0,83,
60-148-20-07-25,T-Shirt - Nine Shades of Grey - - XXL - Charcoal,21,21,,0,0,21,
60-149-19-03-28,T-SHIRT - NINE SHADES OF GREY - - WOMEN'S - SM - DARK GREY,2,2,,0,0,2,
60-149-19-04-28,T-SHIRT - NINE SHADES OF GREY - - WOMEN'S - MD - DARK GREY,3,3,,0,0,3,
60-149-19-05-28,T-SHIRT - NINE SHADES OF GREY - - WOMEN'S - LG - DARK GREY,4,4,,0,0,4,
60-149-19-06-28,T-SHIRT - NINE SHADES OF GREY - - WOMEN'S - XL - DARK GREY,2,2,,0,0,2,
60-149-19-07-28,T-SHIRT - NINE SHADES OF GREY - - WOMEN'S - XXL - DARK GREY,1,1,,0,0,1,
60-149-20-03-25,T-Shirt - Nine Shades of Grey - - Women's - SM - Heather Grey,19,19,,0,0,19,
60-149-20-04-25,T-Shirt - Nine Shades of Grey - - Women's - MD - Heather Grey,40,40,,0,0,40,
60-149-20-05-25,T-Shirt - Nine Shades of Grey - - Women's - LG - Heather Grey,42,42,,0,0,42,
60-149-20-06-25,T-Shirt - Nine Shades of Grey - - Women's - XL - Heather Grey,28,28,,0,0,28,
60-149-20-07-25,T-Shirt - Nine Shades of Grey - - Women's - XXL - Heather Grey,7,7,,0,0,7,
60-156-19-06-20,T-SHIRT - COMMONWEALTH - XL - - BLACK,1,1,,0,0,1,
60-158-17-03-25,T-SHIRT - INVERSION - SLATE / - YELLOW - SM,36,36,,0,0,36,
60-158-17-04-25,T-SHIRT - INVERSION - SLATE / - YELLOW - MD,68,68,,0,0,68,
60-158-17-05-25,T-SHIRT - INVERSION - SLATE / - YELLOW - LG,50,50,,0,0,50,
60-158-17-06-25,T-SHIRT - INVERSION - SLATE / - YELLOW - XL,30,30,,0,0,30,
60-158-19-03-70,T-SHIRT - INVERSION - SM - MIL - ITARY GREEN / LIME,2,2,,0,0,2,
60-161-20-03-10,T-SHIRT - LOGO TAG POCKET TEE: - GREY/CHARCOAL-S,11,11,,0,0,11,
60-161-20-03-20,T-Shirt - RLT COMPASS - SM - B - LACK,3,3,,0,0,3,
60-161-20-04-10,T-SHIRT - LOGO TAG POCKET TEE: - GREY/CHARCOAL-M,25,26,,1,0,25,
60-161-20-04-20,T-Shirt - RLT COMPASS - MD - B - LACK,9,9,,0,0,9,
60-161-20-06-10,T-SHIRT - LOGO TAG POCKET TEE: - GREY/CHARCOAL-XL,5,5,,0,0,5,
60-164-17-04-82,T-SHIRT - WOMEN'S CALIRADO TAN - K - TURQUOISE - MD,9,9,,0,0,9,
60-164-17-05-82,T-SHIRT - WOMEN'S CALIRADO TAN - K - TURQUOISE - LG,32,32,,0,0,32,
60-164-17-06-82,T-SHIRT - WOMEN'S CALIRADO TAN - K - TURQUOISE - XL,10,10,,0,0,10,
60-166-17-05-25,T-SHIRT - WOMEN'S INVERSION 3/ - 4 - HEATHER/BLACK - LG,27,27,,0,0,27,
60-166-17-06-25,T-SHIRT - WOMEN'S INVERSION 3/ - 4 - HEATHER/BLACK - XL,4,4,,0,0,4,
60-168-17-03-20,T-SHIRT - SIR 9 - BLACK - SM - ,6,6,,0,0,6,
60-169-20-00-20,Niner Serape Bandana - Black - ,22,22,,0,0,22,
60-169-20-00-25,Niner Serape Bandana - Gray - ,36,36,,0,0,36,
60-169-20-00-80,Niner Serape Bandana - Navy - ,26,26,,0,0,26,
60-170-20-03-20,T-SHIRT - NINER RIDE THE LIGHT - NING e9 TEE - SM - Charcoal,122,122,,0,0,122,
60-170-20-04-20,T-SHIRT - NINER RIDE THE LIGHT - NING e9 TEE - MD - Charcoal,40,40,,4,0,40,
60-170-20-05-20,T-SHIRT - NINER RIDE THE LIGHT - NING e9 TEE - LG - Charcoal,20,20,,4,0,20,
60-170-20-06-20,T-SHIRT - NINER RIDE THE LIGHT - NING e9 TEE - XL - Charcoal,32,32,,3,0,32,
60-170-20-07-20,T-SHIRT - NINER RIDE THE LIGHT - NING e9 TEE - XXL - Charcoal,6,6,,0,0,6,
60-202-18-02-20,NINER/SQUADRA RDO VEST - XS - ,1,1,,0,0,1,
60-202-18-03-20,NINER/SQUADRA RDO VEST - SM - ,3,3,,0,0,3,
60-202-18-04-20,NINER/SQUADRA RDO VEST - MD - ,1,1,,0,0,1,
60-205-13-03-20,SS JERSEY - PEDAL DAMN IT - SM - ALL,1,1,,0,0,1,
60-207-17-02-20,NINER/SQUADRA RDO JERSEY - ,2,2,,0,0,2,
60-207-17-03-20,NINER/SQUADRA RDO JERSEY - ,2,2,,0,0,2,
60-211-18-02-20,NINER/SQUADRA RDO LS THERMAL J - ERSEY,3,3,,0,0,3,
60-211-18-03-20,NINER/SQUADRA RDO LS THERMAL J - ERSEY,5,5,,0,0,5,
60-211-18-04-20,NINER/SQUADRA RDO LS THERMAL J - ERSEY,2,2,,0,0,2,
60-223-16-03-20,NINER FRONT RANGER JERSEY - SM - ,3,3,,0,0,3,
60-229-17-02-84,NINER RDO JERSEY - WOMEN'S - X - S,4,4,,0,0,4,
60-229-17-03-84,NINER RDO JERSEY - WOMEN'S - S - M,4,4,,0,0,4,
60-229-17-04-84,NINER RDO JERSEY - WOMEN'S - M - D,4,4,,0,0,4,
60-229-17-05-84,NINER RDO JERSEY - WOMEN'S - L - G,14,14,,0,0,14,
60-230-22-03-20,GA M CHRNO EX BIB SHORT NINER - CSTM S,24,25,,1,0,25,1
60-230-22-04-20,GA M CHRNO EX BIB SHORT NINER - CSTM M,49,50,,0,1,50,1
60-230-22-05-20,GA M CHRNO EX BIB SHORT NINER - CSTM L,42,49,,4,3,49,7
60-230-22-06-20,GA M CHRNO EX BIB SHORT NINER - CSTM XL,23,24,,0,1,24,1
60-231-22-03-20,GIRO M CHRONO EX JERSEY NINER - CSTM S,24,25,,1,0,25,1
60-231-22-04-20,GIRO M CHRONO EX JERSEY NINER - CSTM M,45,50,,2,3,48,3
60-231-22-05-20,GIRO M CHRONO EX JERSEY NINER - CSTM L,43,49,,4,2,49,6
60-231-22-06-20,GIRO M CHRONO EX JERSEY NINER - CSTM XL,21,24,,0,3,24,3
60-424-19-03-80,NINER CA-CO BEAR HOODIE - SM - - BLUE,3,3,,0,0,3,
60-424-20-03-70,NINER CA-CO BEAR HOODIE:NINER - CA-CO BEAR HOODIE-SM-GREEN,23,23,,0,0,23,
60-424-20-04-70,NINER CA-CO BEAR HOODIE:NINER - CA-CO BEAR HOODIE-MD-GREEN,32,32,,0,0,32,
60-424-20-05-70,NINER CA-CO BEAR HOODIE:NINER - CA-CO BEAR HOODIE-LG-GREEN,25,26,,0,0,25,
60-424-20-06-70,NINER CA-CO BEAR HOODIE:NINER - CA-CO BEAR HOODIE-XL-GREEN,10,11,,0,0,10,
60-430-20-03-28,NINER LOGO TAG/TOPO TECH HOODI - E  - S - DARK GREY,15,15,,0,0,15,
60-430-20-04-28,NINER LOGO TAG/TOPO TECH HOODI - E  - M - Dark Grey,28,28,,0,0,28,
60-430-20-05-28,NINER LOGO TAG/TOPO TECH HOODI - E  - Lg - Dark Grey,24,24,,0,0,24,
60-430-20-06-28,NINER LOGO TAG/TOPO TECH HOODI - E  - XL - Dark Grey,10,10,,0,0,10,
60-605-13-02-20,BIB SHORTS - PEDAL DAMN IT - - X-SMALL,2,2,,0,0,2,
60-605-13-07-20,BIB SHORTS - PEDAL DAMN IT - X - X-LARGE,18,18,,0,0,18,
60-609-14-02-40,NINER/SQUADRA TEAM GEAR BIB - - X-SMALL,5,5,,0,0,5,
60-609-17-03-40,NINER/SQUADRA TEAM BIB SHORT - ,6,6,,0,0,6,
60-609-17-04-40,NINER/SQUADRA TEAM BIB SHORT - ,4,4,,0,0,4,
60-609-17-05-40,NINER/SQUADRA TEAM BIB SHORT - ,6,6,,0,0,6,
60-609-17-06-40,NINER/SQUADRA TEAM BIB SHORT - ,3,3,,0,0,3,
60-629-17-02-84,NINER RDO SHORTS - WOMEN'S - X - S,5,5,,0,0,5,
60-629-17-03-84,NINER RDO SHORTS - WOMEN'S - S - M,13,13,,0,0,13,
60-629-17-04-84,NINER RDO SHORTS - WOMEN'S - M - D,16,16,,0,0,16,
60-629-17-05-84,NINER RDO SHORTS - WOMEN'S - L - G,20,20,,0,0,20,
60-629-17-06-84,NINER RDO SHORTS - WOMEN'S - X - L,5,5,,0,0,5,
60-702-14-03-20,NINER/SQUADRA TEAM ARMWARMER - - SMALL,16,16,,0,0,16,
60-728-19-06-28,PATAGONIA/NINER TORRENTSHELL J - ACKET *INTERNAL USE ONLY*,1,1,,0,0,1,
60-729-20-04-25,ANTHEM/NINER LOGO POLO:ANTHEM/ - NINER LOGO POLO - M - GRAY,44,44,,0,0,44,
60-729-20-05-25,ANTHEM/NINER LOGO POLO:ANTHEM/ - NINER LOGO POLO - LG - GRAY,16,16,,0,0,16,
60-729-20-06-25,ANTHEM/NINER LOGO POLO:ANTHEM/ - NINER LOGO POLO - XL - GRAY,11,11,,0,0,11,
63-105-21-00-00,GLASS SODA CAN - SCREEN PRINT - - NINER 9 LOGO/PDI LOGO,286,288,,0,2,286,
63-108-21-00-00,18OZ DOUBLE WALL PINT - STAINL - ESS - NINER SCREEN PRINT LOGO,340,340,,0,0,340,
63-110-21-00-20,TIN TACKER WALL ART - PDI LOGO - - 11.5,240,240,,0,0,240,
63-111-21-00-70,COMMON WILD - ENAMEL CAMP MUG - ,1,1,,0,0,1,
63-112-21-00-00,COMMON WILD - NALGENE WATER BO - TTLE,25,25,,0,0,25,
63-112-21-00-20,TIN TACKER WALL ART - NINER CA - -CO BEAR LOGO - 17.5,240,240,,0,0,240,
64-001-20-00-20,BOLT-ON FRONT RACK - RLT E9 RD - O,141,141,,2,0,142,
65-001-20-00-20,BOLT-ON REAR RACK - RLT E9 RDO - ,81,87,,2,1,82,1
68.2793.114.205,SRAM - CN PC1 SLVR 114LI W/ SN - P.LCK T11 1PC,1,1,,1,63,1,0
70-002-00-20-00,WARRANTY REGISTRATION POSTCARD - ,993,993,,0,0,993,
70-003-00-20-00,"STICKER HANDOUT (niner, LOGO, - PDI)",769,768,,0,4,769,
70-004-20-00-10,"NINER DECAL - 9 LOGO, SILVER/T - OPO, 8",165,165,,0,0,165,
70-131-18-00-26,DECAL SET - SIR 9 3-5 STAR - B - LUE / ORANGE,42,42,,0,0,42,
70-131-20-00-26,Decal Set - SIR 9 3 STAR - Ora - nge / Slate - SC,19,19,,0,0,19,
70-702-20-00-75,Decal Set - JET 9 RDO 2-STAR - - Teal / Red,26,26,,0,0,26,
70-703-20-00-75,Decal Set - JET 9 RDO 3-STAR - - Teal / Red,45,45,,0,0,45,
70-704-20-00-75,Decal Set - JET 9 RDO 4-5-STAR - - Teal / Red,30,30,,0,0,30,
70-711-18-00-80,Decal Set - RKT 9 RDO 1-2 STAR - - Blue / Green,1,1,,0,0,1,
70-711-19-00-20,Decal Set - RKT 9 RDO 1-2 STAR - - Carbon/Green,46,46,,0,0,46,
70-711-20-00-50,Decal Set - RKT 9 RDO 2 STAR - - Orange,43,43,,3,0,43,
70-712-17-00-84,AIR 9 RDO - FOX DECAL SET - CM - YK,10,10,,0,0,10,
70-712-19-00-80,Decal Set - AIR 9 RDO 2 STAR - - Blue / Slate,57,57,,1,12,57,
70-712-19-00-84,Decal Set - AIR 9 RDO 2 STAR - - CMYK,10,10,,0,0,10,
70-713-18-00-50,Decal Set - JET 9 RDO 1-2 STAR - - Orange / Slate,21,21,,0,0,21,
70-715-20-00-20,Decal Set - RKT 9 RDO RS 2 STA - R - Carbon/Green,36,36,,0,0,36,
70-715-20-00-50,Decal Set - RKT 9 RDO RS 2 STA - R - Orange,96,96,,0,12,96,
70-722-19-00-80,Decal Set - AIR 9 RDO 3-5 STAR - - Blue / Slate,39,39,,0,0,39,
70-722-20-00-50,Decal Set - AIR 9 RDO 3 STAR - - Orange / Yellow,22,22,,1,0,22,
70-722-20-00-80,Decal Set - AIR 9 RDO 3 STAR - - Blue / Slate,20,20,,0,0,20,
70-731-18-00-80,DECAL SET - RKT 9 RDO 3-5 STAR - - BLUE / GREEN,7,7,,0,0,7,
70-731-19-00-20,Decal Set - RKT 9 RDO 3-5 STAR - - Carbon/Green 34 SC,34,34,,1,0,34,0
70-731-20-00-20,Decal Set - RKT 9 RDO 3 STAR - - Carbon/Green 34 SC,24,24,,0,0,24,
70-731-20-00-50,Decal Set - RKT 9 RDO 3 STAR - - Orange 34 SC,22,22,,0,0,22,
70-733-18-00-22,Decal Set - JET 9 RDO 3-5 STAR - - Grey,1,1,,0,0,1,
70-733-18-00-50,Decal Set - JET 9 RDO 3-5 STAR - - Orange / Slate,12,12,,0,0,12,
70-733-18-00-70,DECAL SET - JET 9 RDO 3-5 STAR - - GREEN / BLUE,7,7,,0,0,7,
70-733-20-00-50,Decal Set - JET 9 RDO 3 STAR - - Orange / Slate,4,4,,0,0,4,
70-734-18-00-50,Decal Set - RIP 9 RDO 3-5 STAR - - Orange / Black,24,24,,0,0,24,
70-734-18-00-70,DECAL SET - RIP 9 RDO 3-5 STAR - - GREEN / BLACK,4,4,,0,0,4,
70-734-19-00-70,Decal Set - RIP 9 RDO 3-5 STAR - - Green / Grey,3,3,,1,0,3,
70-734-20-00-35,Decal Set - RIP 9 RDO 3 STAR - - Mint / Red,27,27,,0,0,27,
70-734-20-00-70,Decal Set - RIP 9 RDO 3 STAR - - Green / Grey,12,12,,0,0,12,
70-735-20-00-20,Decal Set - RKT 9 RDO RS 3 STA - R - Carbon/Green 32 SC,26,26,,0,0,26,
70-735-20-00-50,Decal Set - RKT 9 RDO RS 3 STA - R - Orange 32 SC,25,25,,0,0,25,
70-745-20-00-20,Decal Set - RKT 9 RDO RS 4-5 S - TAR - Carbon/Green 32 SC,51,51,,0,0,51,
70-782-19-00-35,Decal Set - RIP 9 RDO 2 STAR - - Sand - MY19,37,37,,0,6,37,
70-782-19-00-70,Decal Set - RIP 9 RDO 2 STAR - - Green / Grey - MY19,10,10,,0,0,10,
80.7915.001.080,SRAM DERAILLEUR CABLE HOUSING - - 2000MM W/ END CAPS & TIPS,166,166,,0,0,166,
95-000-19-00-00,Niner Pre-Build Box 45 - x 29,618,-55,,1480,8028,618,0
99-005-19-00-20,Niner Patch - Black - ,503,533,,30,0,533,30
99-005-21-00-40,PLUSH SPORTS TOWEL - WHITE - S - UBLIMATED RED NINER LOGO PATTE,142,142,,0,0,142,
IFDM616X6L,"DEORE FRONT DERAILLEUR - 28.6 - BAND, DOWN SWING, D/PULL, 2X -",3,3,,5,0,3,0
KBBMT800B,SHIMANO - XT MT800 BB - KBBMT8 - 00B,18,18,,18,0,18,0
KFDM611D6L,DEORE FRONT DERAILLEUR DIRECT - MOUNT - DOWN SWING - DUAL PULL,24,24,,0,0,24,
KFDM617HL6,SHIMANO - DEORE FRONT DER - 34 - .9 HC - 2X10 - KFDM617HL6,5,5,,7,0,5,0
KFDM780E6X,XT FRONT DERAILLEUR E TYPE - ,28,28,,28,0,28,
KFDM8020D6,SHIMANO - XT 11SP FRONT DER - - DIRECT  - 2X11 - KFDM8020D6,7,7,,0,0,7,
KSMBB70B,XT BOTTOM BRACKET - ,10,10,,10,0,10,0
KSMBB93B,XTR 11sp Bottom Bracket - KSMB - B93B,8,8,,0,0,8,
KSMFD905E,"ADAPTER FOR FD MOUNT, SM-FD905 - -E,       E TYPE MOUNT, BULK",21,21,,21,0,21,0
KSMFD905HL,"ADAPTER FOR FD MOUNT, SM-FD905 - -H, HIGH CLAMP BAND,L-SIZE(34.",11,11,,22,0,11,0
,,,,,,,,
