ITEM,concatenation_description,synapse_quantity_allocable,e1_quantity,STATUS,e1_quantity_hard_commit,e1_quantity_soft_commit,synapse_quantity,synapse_quantity_tasked
44-601-17-01-55,JET 9 RDO REAR TRIANGLE - BLAZ - E YELLOW,1,1,,0,0,1,
44-602-13-01-41,JET 9 CARBON REAR TRIANGLE - T - AMALE,2,2,,0,0,2,
44-602-15-00-55,JET 9 CARBON REAR TRIANGLE - O - RANGE/BLAZE YELLOW,2,2,,0,0,2,
44-603-13-01-22,RIP 9 RDO REAR TRIANGLE - LICO - RICE,3,3,,0,0,3,
44-701-17-01-80,RKT 9 REAR TRIANGLE - BLUE/GRE - EN,1,1,,0,0,1,
44-701-18-01-50,RKT 9 REAR TRIANGLE - ORANGE - ,6,6,,0,0,6,
44-711-18-02-20,RKT 9 REAR TRIANGLE - CARBON/G - REEN,7,7,,0,0,7,
44-801-18-01-00,RIP 9 RDO V2.1 REAR TRIANGLE - - CARBON/WHITE (WARRANTY),8,7,,0,-1,8,
44-817-19-00-65,RIP 9 RDO REAR TRIANGLE - 27.5 - - SANTA FE SAND,5,5,,0,0,5,
44-817-20-00-20,RIP 9 RDO REAR TRIANGLE - 27.5 - - SATIN CARBON,1,1,,0,0,1,
44-819-19-00-72,RIP 9 RDO REAR TRIANGLE - 29 - - MILITARY GRN/CEMENT,2,2,,0,0,2,
44-819-20-00-20,RIP 9 RDO REAR TRIANGLE - 29 - - SATIN CARBON,1,1,,0,0,1,
44-919-21-00-40,WFO 9 RDO REAR TRIANGLE - HOT - TAMALE,2,2,,0,0,2,
45-001-20-59-80,RLT 9 FRAME (NO FORK)-59-AZURE - BLUE,1,1,,0,0,1,
45-001-20-62-80,RLT 9 FRAME (NO FORK)-62-AZURE - BLUE,1,1,,0,0,1,
46-002-14-00-20,ROS 9 ST COVER W/SCREW (PAIR) - ,49,49,,0,0,49,
46-010-15-00-00,ONE 9 QR SS DROPOUT W/ BOTTLE - OPENER,212,212,,0,0,212,
46-010-21-00-20,METAL CREDIT CARD STYLE 2-SIDE - D PRINTED BOTTLE OPENER - NINE,184,184,,0,0,184,
46-011-13-00-35,NIE-SPA - PIVOT SPACER LOWER 6 - 061-T6 - RED,86,86,,0,0,86,
46-011-21-00-20,License plate frame 1200B - bl - ack with white Niner logo,177,177,,0,0,177,
46-012-13-00-20,PIVOT NUT - J9C - ALLOY RT - S - ILVER,28,28,,0,0,28,
46-019-10-00-20,CHAINSTAY PROTECTOR - AIR 9 CA - RBON V1 - VELCRO,11,11,,0,0,11,
46-020-14-00-20,RIP 9 RDO BASH GUARD LOWER LIN - K,43,44,,1,0,43,
46-023-10-00-01,3M SEAT STAY PROTECTOR-TAPE- A - IR 9 CARBON-CLEAR,182,182,,0,2,182,0
46-024-10-00-10,CABLE GUIDE CHUCK- AIR 9 CARBO - N-7075-SILVER,99,99,,0,0,99,
46-025-14-00-01,3M DOWN TUBE PROTECTOR-TAPE - - BSB 9 RDO,36,36,,0,0,36,0
46-027-14-00-01,3M DOWN TUBE PROTECTOR-TAPE - - AIR 9 RDO V1,41,41,,0,0,41,
46-028-14-00-01,3M DOWN TUBE PROTECTOR-TAPE - - RIP 9 RDO V1,87,87,,0,0,87,
46-029-14-00-10,"RIP 9 RDO TI GUARD SET 1 - BB - , 1 - CHAINSTAY",15,15,,0,0,15,
46-031-11-00-10,"JET 9 CARBON TI GUARD SET 1 - - BB , 1 - CHAINSTAY",102,102,,0,0,102,
46-032-11-00-01,3M DOWN TUBE PROTECTOR-TAPE - - JET 9 RDO V1,107,107,,0,2,107,0
46-032-14-00-10,BSB 9 RDO TI GUARD SET - ,42,42,,0,0,42,
46-034-16-00-10,"RKT 9 RDO TI GUARD SET 1 - BB - , 1 - CHAINSTAY",6,6,,0,0,6,
46-036-12-00-20,CHAINSTAY PROTECTOR - ONE 9 - - BLACK,33,33,,0,0,33,
46-041-14-00-00,34.9MM BRAZE ON FRONT DERAILLE - UR ADAPTER,5,5,,0,0,5,
46-041-20-34-20,34.9mm Braze On Front Deraille - ur Adapter (black),956,967,,198,312,956,0
46-045-14-00-20,CHAINSTAY PROTECTOR - AIR 9 RD - O V1,36,37,,0,1,37,1
46-050-14-00-00,RIP 9 RDO ISCG-05 MOUNT - ,57,57,,0,0,57,
46-052-14-00-30,RIP RDO V1 PIVOT BOLT - RED - ,14,14,,0,0,14,
46-054-14-00-30,RIP RDO V1 SEATSTAY PIVOT BOLT - - RED,63,63,,0,0,63,
46-072-14-00-20,CHAINSTAY PROTECTOR - RIP 9 RD - O V1,47,47,,0,2,47,0
46-072-17-00-20,CHAINSTAY PROTECTOR - RIP 9 RD - O V2,35,35,,0,0,35,
46-074-17-00-20,CHAINSTAY PROTECTOR - JET 9 RD - O V2,58,58,,0,0,58,
46-074-18-00-00,CHAINSTAY PROTECTOR-BSB 9 RDO - / JET/RIP ALLOY - SILICON,183,183,,0,0,183,
46-076-18-00-00,CHAINSTAY PROTECTOR-RKT 9 RDO - V1 - SILICON,90,91,,1,0,90,
46-078-17-00-00,CHAINSTAY PROTECTOR - RLT 9 RD - O,111,111,,0,0,111,
46-091-10-00-00,AIR 9 CARBON GEARED KIT - ,4,4,,0,0,4,
46-092-10-00-20,BB CABLE GUIDE FOR AIR 9 CARBO - N,50,50,,0,0,50,
46-100-11-00-20,RDO 4MM CABLE HOUSING STOP - ,3750,3750,,0,0,3750,
46-121-21-00-00,ROCK SHOCK - RIP E9/WFO E9 SHO - CK BOLT AND BUSHING,255,255,,0,0,255,
46-300-14-00-00,JAGWIRE 4000MM FULL CABLE HOUS - ING KIT W/ CAPS & CRIMPS,7648,7654,,1278,6348,7648,
46-303-18-00-00,Jagwire Rotating Hook - 4mm/5m - m Housing,8184,8190,,812,4360,8184,
46-304-20-00-00,"SHIMANO - DISC BRAKE HOSE, SM- - BH90-SB,         1000MM BLACK(",184,184,,5,2,184,
46-601-12-00-00,PERFORMANCE SHIFT KIT - AIR 9 - CARBON,492,492,,0,0,492,
46-701-12-00-10,"AIR 9 RDO TI GUARD SET 1 - BB - , 1 - CHAINSTAY",14,14,,0,0,14,
47-000-17-00-20,Pivot Bolt - BB ISCG Female - - J9RDO V2 - Black,39,42,,0,5,39,
47-000-17-01-20,Pivot Bolt - Female - J9RDO V2 - - Black,30,30,,0,25,30,
47-000-17-03-20,Pivot Bolt - Male - J9RDO V2 / - RKT 9 RDO- Black,3,3,,0,2,3,
47-000-17-05-20,Pivot Bolt - Seatstay - J9RDO - V2 - Black,70,70,,0,16,70,
47-000-17-06-20,Pivot Bolt - Seatstay - RIP 9 - RDO V2 - Black,112,112,,0,0,112,
47-000-17-07-40,PIVOT BOLT - SEATSTAY - RKT - - RED,195,195,,0,0,195,
47-000-17-08-20,Pivot Bolt Washer - 17mm - RIP - 9 RDO V2 - Black,40,40,,0,0,40,
47-000-18-13-20,PIVOT BOLT FEMALE - M13 X 1 X - 34L - RIP V3 - BLACK,71,71,,0,0,71,
47-000-20-03-20,PIVOT BOLT - MALE - RKT - M13X - 1P - BLACK,110,110,,0,29,110,
47-001-17-03-20,Bash Guard  - RIP 9 RDO V2 / J - 9RDO V2,343,343,,0,0,343,
47-001-17-04-20,Bash Guard Gasket - RIP 9 RDO - V2 / J9RDO V2,359,359,,0,0,359,
47-001-17-08-20,BB Hatch Door - RLT 9 RDO - ,68,68,,0,0,68,
47-001-17-10-20,BB Access Panel Cover - Air 9 - RDO V2,57,57,,0,0,57,
47-002-19-00-00,M4x0.7x7L BHCS for RIP v3 - ,180,180,,0,0,180,
47-002-19-01-20,Bash Guard  - RIP 9 RDO V3 - ,26,26,,0,0,26,
47-002-19-02-20,DT Cover - RIP V3 - Fox Live V - alve,30,30,,0,0,30,
47-002-19-05-00,M5x10L BHCS for RIP v3 - ,69,69,,0,0,69,
47-003-17-55-00,BB Cable Guide Screw - M5x6 - - BSB,29,29,,0,0,29,
47-003-17-56-00,BB Cable Guide Screw - M5x6 - - RKT,100,100,,0,0,100,
47-003-17-58-20,BB Cable Guide - RKT 9 RDO - ,100,100,,0,0,100,
47-004-17-80-20,Bearing Spacer 17mm - J9RDO V2 - / RKT - Black,5,5,,0,0,5,
47-005-17-04-20,Cable Housing Shim - 4mm - Bla - ck,900,900,,0,0,900,
47-005-17-05-25,Cable Housing Shim - 5mm - Gre - y,301,301,,0,0,301,
47-005-17-14-20,Cable Raincoat - CM014 - ,176,176,,0,0,176,
47-005-17-18-20,NYLON GUIDE TUBE - RLT 9 RDO - ,100,100,,0,0,100,
47-005-17-22-20,Rubber Seal - RLT 9 RDO - ,100,100,,0,0,100,
47-006-17-00-20,Di2 Battery Door - RIP 9 RDO V - 2 / J9RDO V2,375,375,,0,0,375,
47-006-17-01-00,Di2 Battery Door Screw - M5x10 - ,159,159,,0,0,159,
47-006-17-02-20,Di2 Battery Shim - RIP 9 RDO V - 2 / J9RDO V2,685,685,,0,0,685,
47-006-17-03-20,Di2 Hole Plug - A9RDO V2 - ,148,148,,0,0,148,
47-006-17-04-20,Di2 Junction Box Adaptor - RIP - 9 RDO V2 / J9RDO V2,324,324,,0,0,324,
47-006-17-05-20,Di2 Plug - 8x7mm - ,481,481,,0,0,481,
47-006-17-06-20,Di2 Plug - ST - BSB 9 RDO - ,61,61,,0,0,61,
47-006-17-08-20,Di2 Plug - RLT 9 RDO - ,141,141,,0,0,141,
47-006-17-10-20,Di2 Plug - RLT 9 RDO - No Hole - ,132,132,,0,0,132,
47-006-17-12-00,M6X 12 - FORK CROWN BOLT - GRA - VEL RDO FORK,101,101,,0,0,101,
47-007-17-00-20,FD Mount - J9RDO V2 - Black - ,29,29,,0,0,29,
47-007-17-01-40,FD Mount - RKT - Red - ,20,20,,0,0,20,
47-007-17-02-00,FD Mount Bolt - M5x12 - J9RDO - V2,68,68,,0,0,68,
47-007-17-03-00,FD Mount Bolt - M5x20 - J9RDO - V2,68,68,,0,0,68,
47-007-17-04-20,FD Screw Hole Plug / Fork Rack - Mount Plug,6,6,,0,0,6,
47-007-17-06-00,BB Access Door Screw - Air 9 R - DO V2,182,182,,0,0,182,
47-007-17-30-00,BB HATCH DOOR BOLT - M4x12 - 3 - mm Allen,78,78,,0,0,78,
47-007-17-32-00,Fender Mount - RLT 9 RDO - ,79,79,,0,0,79,
47-008-17-00-20,Grommet - No Hole - BSB 9 RDO - ,324,324,,0,0,324,
47-008-17-01-20,One Way Cable Guide - ,366,366,,0,0,366,
47-008-17-02-20,Grommet - Dual Cable - RIP 9 R - DO V2 / J9RDO V2 DT,210,210,,0,0,210,
47-008-17-27-20,Grommet - 2.7mm - BSB 9 RDO - ,223,223,,0,0,223,
47-008-17-40-20,Grommet - Dual Cable - 4mm - ,894,894,,0,0,894,
47-008-17-42-20,Grommet - 4.2mm - BSB 9 RDO - ,289,289,,0,0,289,
47-008-18-01-20,Guide Tube Shim - Der Housing - - Jet 9 RDO V2.1 / RIP 9 RDO V,1,1,,0,0,1,
47-008-18-02-20,Guide Tube Shim - Brake Housin - g - Jet 9 RDO V2.1 / RIP 9 RDO,52,52,,0,0,52,
47-009-17-12-20,Maxle Thread Capture Insert - - Air 9 RDO V2,72,72,,0,0,72,
47-009-18-12-00,RD HANGER SCREW - M4 X P0.7 X - 12MM (METAL FRAMES),91,91,,0,0,91,
47-009-18-16-00,RD HANGER SCREW - M4 X P0.7 X - 16MM (CARBON FRAMES),90,90,,0,0,90,
47-010-17-00-00,Ti Guard - CS - Air 9 RDO V2 - ,43,43,,0,0,43,
