Order Date,Sold To Number,Sold To,Order Number,Line Number,Stocking Type - STKT,2nd Item Number,Concatenation Description ,Quantity Shipped,Extended Price,Hold Orders Code - HOLD
7/27/2020,128702,BIKE BLING,104940,5.000,K,00-104-22-59-20,RLT STEEL 4-STAR MY22 - 59CM - - BLACK/BRONZE,1,"2,279.43",C1
7/29/2020,128702,BIKE BLING,104997,3.000,K,00-105-22-59-20,RLT STEEL 5-STAR MY22 - 59CM - - BLACK/BRONZE,1,"2,914.45",C1
8/10/2020,128565,JAMES BROS BIKES,105228,2.000,K,04-649-22-04-70,JET RDO 4-STAR MY22 - MD - EME - RALD GREEN,1,"4,079.40",C1
9/9/2020,128870,LUIS A IBARRA II DBA POWAY BICYCLE,372621,3.000,K,04-989-22-05-10,RIP RDO 5-STAR X01 FLOAT X2 LT - D MY22 - LG - SILVER/BAJA BLUE,1,"4,949.45",C1
9/24/2020,128618,OUTDOOR GEAR EXCHANGE,106335,8.000,K,00-103-22-59-20,RLT STEEL 3-STAR MY22 - 59CM - - BLACK/BRONZE,1,"2,107.38",C1
10/5/2020,128492,MACRIS BILL,106595,5.000,K,03-739-22-03-20,AIR RDO 3-STAR MY22 - SM - SAT - IN CARBON/SILVER,1,"2,174.50",
10/14/2020,129204,MOOSEJAW MOUNTAINE WAREHOUSE,106804,14.000,K,03-729-22-06-20,AIR RDO 2-STAR MY22 - XL - SAT - IN CARBON/SILVER,1,"1,649.45",
10/14/2020,129204,MOOSEJAW MOUNTAINE WAREHOUSE,106804,20.000,K,00-802-22-56-15,RLT RDO 2-STAR MY22 - 56CM - - AVALANCHE GREY/SLATE,1,"1,880.43",
10/14/2020,129204,MOOSEJAW MOUNTAINE WAREHOUSE,106804,16.000,K,04-629-22-04-70,JET RDO 2-STAR MY22 - MD - EME - RALD GREEN,1,"2,529.45",
10/14/2020,129204,MOOSEJAW MOUNTAINE WAREHOUSE,106804,17.000,K,04-629-22-05-70,JET RDO 2-STAR MY22 - LG - EME - RALD GREEN,1,"2,529.45",
10/16/2020,128608,D'ANIELLO'S AMITY BICYCLES LLC,106862,6.000,K,00-163-21-56-25,RLT STEEL 3-STAR MY21 - 56cm - - FORGE GREY/BAJA BLUE - 650b,1,"1,946.80",
10/16/2020,128601,AMAIN.COM INC.,106874,2.000,K,00-063-21-56-25,RLT 3-STAR MY21 - 56cm - FORGE - GREY/SKYE BLUE - 650b,1,"1,510.50",
10/16/2020,128601,AMAIN.COM INC.,106875,2.000,K,00-063-21-56-25,RLT 3-STAR MY21 - 56cm - FORGE - GREY/SKYE BLUE - 650b,1,"1,510.50",
10/16/2020,128608,D'ANIELLO'S AMITY BICYCLES LLC,106862,24.000,K,00-102-22-53-20,RLT STEEL 2-STAR MY22 - 53CM - - BLACK/BRONZE,1,"1,921.38",
10/16/2020,128608,D'ANIELLO'S AMITY BICYCLES LLC,106862,25.000,K,00-102-22-56-20,RLT STEEL 2-STAR MY22 - 56CM - - BLACK/BRONZE,1,"1,921.38",
10/16/2020,128608,D'ANIELLO'S AMITY BICYCLES LLC,106862,26.000,K,00-102-22-59-20,RLT STEEL 2-STAR MY22 - 59CM - - BLACK/BRONZE,1,"1,921.38",
10/28/2020,129436,PURO MTB - COSTA RICA,107107,1.000,K,02-602-20-04-22,JET 9 RDO - FOX PERFORMANCE - - MY20-Md-Licorice,1,"1,560.00",
10/28/2020,128702,BIKE BLING,107123,3.000,K,03-531-22-05-10,AIR 3-STAR SS LTD MY22 - LG - - SILVER/BAJA BLUE,1,"1,264.45",C1
11/4/2020,128665,CAMBRIA BICYCLE OUTFITTER,107286,6.000,K,02-809-21-04-10,RIP 9 RDO - FOX FACTORY - 29 - - MD - SILVER/BAJA BLUE,1,"1,760.00",
11/4/2020,128665,CAMBRIA BICYCLE OUTFITTER,107286,8.000,K,02-601-21-05-70,JET 9 RDO V3 - FOX FLOAT X FAC - TORY - LG - EMERALD GREEN,1,"1,732.50",
11/4/2020,128665,CAMBRIA BICYCLE OUTFITTER,107286,9.000,K,02-601-21-05-15,JET 9 RDO V3 - FOX FLOAT X FAC - TORY - LG - MAGNETIC GREY,1,"1,732.50",
11/8/2020,129267,"RUNNING SPORTS, INC DBA TRI BIKE RUN",107359,3.000,K,04-729-22-03-15,RKT RDO 2-STAR MY22 - SM - GRE - Y/ORANGE,1,"2,309.45",C1
11/8/2020,129267,"RUNNING SPORTS, INC DBA TRI BIKE RUN",107359,4.000,K,04-729-22-03-15,RKT RDO 2-STAR MY22 - SM - GRE - Y/ORANGE,1,"2,309.45",C1
11/9/2020,129029,BG PARTNERS BILLING,107390,11.000,K,04-629-22-04-15,JET RDO 2-STAR MY22 - MD - MAG - NETIC GREY,1,"2,299.50",C1
11/9/2020,129029,BG PARTNERS BILLING,107390,12.000,K,04-629-22-05-15,JET RDO 2-STAR MY22 - LG - MAG - NETIC GREY,1,"2,299.50",C1
11/11/2020,129085,CODAGEX,107436,14.000,K,02-702-21-03-15,RKT 9 RDO - SM - GREY/ORANGE - - FOX PERFORMANCE,1,"1,350.00",
11/11/2020,129085,CODAGEX,107436,15.000,K,02-702-21-03-25,RKT 9 RDO - SM - SATIN CARBON - BLACK/MAGNETIC GREY - FOX PERF,1,"1,350.00",
11/11/2020,129085,CODAGEX,107436,16.000,K,02-702-21-04-15,RKT 9 RDO - MD - GREY/ORANGE - - FOX PERFORMANCE,1,"1,350.00",
11/11/2020,129085,CODAGEX,107436,17.000,K,02-702-21-04-25,RKT 9 RDO - MD - SATIN CARBON - BLACK/MAGNETIC GREY - FOX PERF,1,"1,350.00",
11/11/2020,129085,CODAGEX,107436,18.000,K,02-702-21-05-15,RKT 9 RDO - LG - GREY/ORANGE - - FOX PERFORMANCE,1,"1,350.00",
11/11/2020,129085,CODAGEX,107436,19.000,K,02-702-21-05-25,RKT 9 RDO - LG - SATIN CARBON - BLACK/MAGNETIC GREY - FOX PERF,1,"1,350.00",
11/11/2020,129085,CODAGEX,107436,20.000,K,02-702-21-06-15,RKT 9 RDO - XL - GREY/ORANGE - - FOX PERFORMANCE,1,"1,350.00",
11/11/2020,129085,CODAGEX,107436,21.000,K,02-702-21-06-25,RKT 9 RDO - XL - SATIN CARBON - BLACK/MAGNETIC GREY - FOX PERF,1,"1,350.00",
11/11/2020,129085,CODAGEX,107436,30.000,K,05-502-21-70-00,ASSY SPEC - AIR RDO/RKT RDO RS - 2-STAR - 170MM - MY21,2,180.00,
11/11/2020,129085,CODAGEX,107436,31.000,K,05-502-21-70-00,ASSY SPEC - AIR RDO/RKT RDO RS - 2-STAR - 170MM - MY21,1,180.00,
11/11/2020,129085,CODAGEX,107436,32.000,K,05-502-21-75-00,ASSY SPEC - AIR RDO/RKT RDO RS - 2-STAR - 175MM - MY21,4,360.00,
11/11/2020,129085,CODAGEX,107436,33.000,K,05-502-21-75-00,ASSY SPEC - AIR RDO/RKT RDO RS - 2-STAR - 175MM - MY21,5,900.00,
11/19/2020,128965,SONORAN CYCLES BIKE SHOP,107607,12.000,K,00-962-22-53-20,MCR RDO 5-STAR AXS LTD MY22 - - 53 CM - BLACK/MAGNETIC GREY,1,"4,616.43",
11/24/2020,129405,"BAD DOG BIKES, LLC",107719,8.000,K,04-629-22-04-15,JET RDO 2-STAR MY22 - MD - MAG - NETIC GREY,1,"2,989.35",C1
11/24/2020,149056,EVAN GUARR,110115,3.000,K,00-103-22-59-70,RLT STEEL 3-STAR MY22 - 59CM - - EMERALD GREEN,1,"3,399.00",CC
11/27/2020,129085,CODAGEX,108072,1.000,K,05-509-21-75-20,ASSY SPEC - AIR / SIR 2-STAR M - Y21 - 175mm,1,413.22,
11/30/2020,128910,BLACK PUG BICYCLE REPAIR,107839,1.000,K,00-164-21-59-25,RLT STEEL 4-STAR MY21 - 59cm - - FORGE GREY/BAJA BLUE - 650b,1,"2,590.00",
12/4/2020,128640,BILOXI BICYCLE WORKS,108000,17.000,K,00-804-22-56-15,RLT RDO 4-STAR MY22 - 56CM - - AVALANCHE GREY/SLATE,1,"2,450.43",
12/7/2020,128802,WHEEL WERKS,108059,6.000,K,00-103-22-56-20,RLT STEEL 3-STAR MY22 - 56CM - - BLACK/BRONZE,1,"2,243.34",
12/7/2020,128802,WHEEL WERKS,108059,2.000,K,00-063-21-56-25,RLT 3-STAR MY21 - 56cm - FORGE - GREY/SKYE BLUE - 650b,1,"1,749.00",
12/7/2020,129173,"MTB GEAR, INC DBA BICYCLE WAREHOUSE",108123,24.000,K,04-927-22-03-20,RIP RDO 2-STAR MY22 - SM - SAT - IN CARBON - 27.5,3,"7,918.35",
12/7/2020,129173,"MTB GEAR, INC DBA BICYCLE WAREHOUSE",108123,25.000,K,04-927-22-04-20,RIP RDO 2-STAR MY22 - MD - SAT - IN CARBON - 27.5,2,"5,278.90",
12/8/2020,129029,BG PARTNERS BILLING,108097,1.000,K,47-721-16-00-00,Plastic Parts Kit - RKT 9 RDO - ,1,5.00,
12/8/2020,128492,MACRIS BILL,108120,5.000,K,04-730-22-03-15,RKT RDO RS 3-STAR MY22 - SM - - GREY/ORANGE,1,"2,724.50",
12/8/2020,133309,WIG'S WHEELS LLC,108102,9.000,K,04-939-22-05-10,RIP RDO 3-STAR MY22 - LG - SIL - VER/BAJA BLUE - 29,1,"4,339.30",C1
12/9/2020,129029,BG PARTNERS BILLING,108149,3.000,K,04-720-22-04-25,RKT RDO RS 2-STAR MY22 - MD - - SATIN CARBON/MAGNETIC GREY,1,"2,099.50",
12/9/2020,129452,PRO-FORM BIKE SHOP,108136,6.000,K,04-629-22-05-70,JET RDO 2-STAR MY22 - LG - EME - RALD GREEN,1,"2,989.35",C1
12/9/2020,129452,PRO-FORM BIKE SHOP,108136,7.000,K,04-629-22-04-15,JET RDO 2-STAR MY22 - MD - MAG - NETIC GREY,1,"2,989.35",C1
12/10/2020,136636,ADVENTURE CYCLES & SPORT DBA ADVENTURE C,108172,2.000,K,04-929-21-03-65,RIP RDO 2-STAR MY21 - SM - SAN - TA FE SAND - 29,1,"2,420.00",
12/10/2020,128627,CYKEL LLC,108176,2.000,K,03-729-22-06-20,AIR RDO 2-STAR MY22 - XL - SAT - IN CARBON/SILVER,1,"1,649.45",
12/11/2020,128556,UNIVERSITY BICYCLES,108210,37.000,K,00-103-22-53-20,RLT STEEL 3-STAR MY22 - 53CM - - BLACK/BRONZE,1,"1,937.43",
12/11/2020,128556,UNIVERSITY BICYCLES,108210,38.000,K,00-103-22-56-70,RLT STEEL 3-STAR MY22 - 56CM - - EMERALD GREEN,1,"1,937.43",
12/11/2020,128556,UNIVERSITY BICYCLES,108210,33.000,K,03-520-22-05-10,AIR 2-STAR MY22 - LG - SILVER/ - BAJA BLUE,1,"1,099.45",
12/11/2020,128556,UNIVERSITY BICYCLES,108210,34.000,K,03-520-22-05-10,AIR 2-STAR MY22 - LG - SILVER/ - BAJA BLUE,1,"1,099.45",
12/11/2020,128556,UNIVERSITY BICYCLES,108210,35.000,K,03-729-22-06-20,AIR RDO 2-STAR MY22 - XL - SAT - IN CARBON/SILVER,1,"1,649.45",
12/12/2020,128702,BIKE BLING,108243,6.000,K,04-929-22-03-20,RIP RDO 2-STAR MY22 - SM - SAT - IN CARBON - 29,1,"2,639.45",C1
12/12/2020,128702,BIKE BLING,108243,7.000,K,04-929-22-03-20,RIP RDO 2-STAR MY22 - SM - SAT - IN CARBON - 29,2,"5,278.90",C1
12/12/2020,128702,BIKE BLING,108243,8.000,K,04-929-22-03-20,RIP RDO 2-STAR MY22 - SM - SAT - IN CARBON - 29,1,"2,639.45",C1
12/14/2020,129034,BUDA BIKE COMPANY,108272,1.000,K,04-929-21-05-65,RIP RDO 2-STAR MY21 - LG - SAN - TA FE SAND - 29,1,"3,080.00",
12/14/2020,128665,CAMBRIA BICYCLE OUTFITTER,108267,14.000,K,03-729-22-06-20,AIR RDO 2-STAR MY22 - XL - SAT - IN CARBON/SILVER,1,"1,649.45",
12/14/2020,128665,CAMBRIA BICYCLE OUTFITTER,108267,15.000,K,03-739-22-03-20,AIR RDO 3-STAR MY22 - SM - SAT - IN CARBON/SILVER,1,"2,391.95",
12/16/2020,128492,MACRIS BILL,108329,6.000,K,03-729-22-03-20,AIR RDO 2-STAR MY22 - SM - SAT - IN CARBON/SILVER,1,"1,499.50",
12/17/2020,129279,CITY GROUNDS INC,108357,3.000,K,00-063-21-53-25,RLT 3-STAR MY21 - 53cm - FORGE - GREY/SKYE BLUE - 650b,1,"1,510.50",
12/17/2020,129279,CITY GROUNDS INC,108357,4.000,K,00-063-21-56-25,RLT 3-STAR MY21 - 56cm - FORGE - GREY/SKYE BLUE - 650b,2,"3,021.00",
12/17/2020,128702,BIKE BLING,108372,4.000,K,04-939-22-03-20,RIP RDO 3-STAR MY22 - SM - SAT - IN CARBON - 29,1,"3,409.45",C1
12/17/2020,128638,BICYCLE WORLD INC DBA WHEELHOUSE BICYCLE,108368,3.000,K,04-729-22-03-15,RKT RDO 2-STAR MY22 - SM - GRE - Y/ORANGE,1,"2,519.40",
12/18/2020,128556,UNIVERSITY BICYCLES,108389,35.000,K,03-520-22-05-10,AIR 2-STAR MY22 - LG - SILVER/ - BAJA BLUE,1,"1,099.45",
12/18/2020,128556,UNIVERSITY BICYCLES,108389,36.000,K,03-520-22-05-10,AIR 2-STAR MY22 - LG - SILVER/ - BAJA BLUE,1,"1,099.45",
12/18/2020,128556,UNIVERSITY BICYCLES,108389,37.000,K,03-520-22-05-10,AIR 2-STAR MY22 - LG - SILVER/ - BAJA BLUE,1,"1,099.45",
12/18/2020,128556,UNIVERSITY BICYCLES,108389,38.000,K,03-520-22-05-10,AIR 2-STAR MY22 - LG - SILVER/ - BAJA BLUE,1,"1,099.45",
12/21/2020,128930,BRUMBLE BIKES,108414,3.000,K,04-729-22-03-25,RKT RDO 2-STAR MY22 - SM - SAT - IN CARBON/MAGNETIC GREY,1,"2,729.35",C1
12/21/2020,136795,CITY BIKE SHOP USE,108432,2.000,K,03-729-22-04-20,AIR RDO 2-STAR MY22 - MD - SAT - IN CARBON/SILVER,1,"1,949.35",CH
1/2/2021,128939,BIKE JUNKIE,108619,4.000,K,04-629-22-04-15,JET RDO 2-STAR MY22 - MD - MAG - NETIC GREY,1,"3,219.30",
1/4/2021,136766,BELGEN CYCLES/VILLAGE BICYCLE SHIP,108636,14.000,K,00-825-22-56-15,RLT RDO 5-STAR MY22 - 56CM - - AVALANCHE GREY/SLATE - 2X,1,"3,719.38",
1/4/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,108648,7.000,K,00-825-22-56-15,RLT RDO 5-STAR MY22 - 56CM - - AVALANCHE GREY/SLATE - 2X,1,"3,419.43",C1
1/4/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,108648,8.000,K,00-825-22-59-15,RLT RDO 5-STAR MY22 - 59CM - - AVALANCHE GREY/SLATE - 2X,1,"3,419.43",C1
1/5/2021,128512,THE BICYCLE DOCTOR LLC,108695,3.000,K,03-729-22-03-20,AIR RDO 2-STAR MY22 - SM - SAT - IN CARBON/SILVER,1,"1,400.00",
1/6/2021,129259,MOUNTAIN OPS,108720,23.000,K,04-927-22-03-20,RIP RDO 2-STAR MY22 - SM - SAT - IN CARBON - 27.5,1,"2,879.40",
1/7/2021,128665,CAMBRIA BICYCLE OUTFITTER,108777,6.000,K,04-929-21-05-65,RIP RDO 2-STAR MY21 - LG - SAN - TA FE SAND - 29,1,"2,420.00",
1/7/2021,128665,CAMBRIA BICYCLE OUTFITTER,108782,9.000,K,04-939-21-04-65,RIP RDO 3-STAR MY21 - MD - SAN - TA FE SAND - 29,1,"3,107.50",
1/7/2021,128665,CAMBRIA BICYCLE OUTFITTER,108782,11.000,K,04-939-21-06-65,RIP RDO 3-STAR MY21 - XL - SAN - TA FE SAND - 29,1,"3,107.50",
1/7/2021,128665,CAMBRIA BICYCLE OUTFITTER,108783,10.000,K,00-063-21-56-25,RLT 3-STAR MY21 - 56cm - FORGE - GREY/SKYE BLUE - 650b,1,"1,425.00",
1/7/2021,128665,CAMBRIA BICYCLE OUTFITTER,108783,11.000,K,00-063-21-59-25,RLT 3-STAR MY21 - 59cm - FORGE - GREY/SKYE BLUE - 650b,1,"1,425.00",
1/7/2021,128665,CAMBRIA BICYCLE OUTFITTER,108784,20.000,K,00-803-22-53-40,RLT RDO 3-STAR MY22 - 53CM - B - LOOD RED,1,"2,165.43",C1
1/7/2021,128665,CAMBRIA BICYCLE OUTFITTER,108784,21.000,K,00-803-22-56-40,RLT RDO 3-STAR MY22 - 56CM - B - LOOD RED,1,"2,165.43",C1
1/7/2021,128665,CAMBRIA BICYCLE OUTFITTER,108784,22.000,K,00-803-22-53-40,RLT RDO 3-STAR MY22 - 53CM - B - LOOD RED,1,"2,165.43",C1
1/7/2021,128665,CAMBRIA BICYCLE OUTFITTER,108773,19.000,K,03-531-22-02-10,AIR 3-STAR SS LTD MY22 - XS - - SILVER/BAJA BLUE,1,"1,264.45",C1
1/7/2021,128665,CAMBRIA BICYCLE OUTFITTER,108773,20.000,K,03-531-22-03-10,AIR 3-STAR SS LTD MY22 - SM - - SILVER/BAJA BLUE,1,"1,264.45",C1
1/7/2021,128665,CAMBRIA BICYCLE OUTFITTER,108773,21.000,K,03-531-22-04-10,AIR 3-STAR SS LTD MY22 - MD - - SILVER/BAJA BLUE,1,"1,264.45",C1
1/7/2021,128665,CAMBRIA BICYCLE OUTFITTER,108773,22.000,K,03-531-22-05-10,AIR 3-STAR SS LTD MY22 - LG - - SILVER/BAJA BLUE,1,"1,264.45",C1
1/7/2021,128665,CAMBRIA BICYCLE OUTFITTER,108773,23.000,K,03-531-22-06-10,AIR 3-STAR SS LTD MY22 - XL - - SILVER/BAJA BLUE,1,"1,264.45",C1
1/7/2021,129082,HENRY'S BICYCLE SHOP (BILLING),108760,3.000,K,03-729-22-05-20,AIR RDO 2-STAR MY22 - LG - SAT - IN CARBON/SILVER,1,"1,649.45",
1/7/2021,128665,CAMBRIA BICYCLE OUTFITTER,108773,24.000,K,03-729-22-05-20,AIR RDO 2-STAR MY22 - LG - SAT - IN CARBON/SILVER,1,"1,649.45",C1
1/7/2021,128665,CAMBRIA BICYCLE OUTFITTER,108785,15.000,K,03-139-22-04-20,SIR 3-STAR MY22 - MD - CEMENT/ - BLACK/COPPER,1,"2,364.45",C1
1/7/2021,128665,CAMBRIA BICYCLE OUTFITTER,108785,16.000,K,03-139-22-05-20,SIR 3-STAR MY22 - LG - CEMENT/ - BLACK/COPPER,1,"2,364.45",C1
1/7/2021,128665,CAMBRIA BICYCLE OUTFITTER,108785,17.000,K,03-139-22-06-20,SIR 3-STAR MY22 - XL - CEMENT/ - BLACK/COPPER,1,"2,364.45",C1
1/7/2021,128702,BIKE BLING,108776,3.000,K,00-105-22-56-20,RLT STEEL 5-STAR MY22 - 56CM - - BLACK/BRONZE,1,"3,020.43",C1
1/7/2021,128665,CAMBRIA BICYCLE OUTFITTER,108784,24.000,K,00-803-22-53-15,RLT RDO 3-STAR 650B - 53CM - A - VALANCHE GREY/SLATE,1,"2,165.43",C1
1/7/2021,128665,CAMBRIA BICYCLE OUTFITTER,108784,26.000,K,00-803-22-56-15,RLT RDO 3-STAR 650B- 56CM - A - VALANCHE GREY/SLATE,1,"2,165.43",C1
1/7/2021,128665,CAMBRIA BICYCLE OUTFITTER,108784,27.000,K,00-803-22-59-15,RLT RDO 3-STAR 650B- 59CM - A - VALANCHE GREY/SLATE,1,"2,165.43",C1
1/7/2021,128665,CAMBRIA BICYCLE OUTFITTER,108784,23.000,K,00-803-22-56-40,RLT RDO 3-STAR MY22 - 56CM - B - LOOD RED,1,"2,165.43",C1
1/7/2021,128665,CAMBRIA BICYCLE OUTFITTER,108783,22.000,K,00-802-22-53-40,RLT RDO 2-STAR MY22 - 53CM - - BLOOD RED,1,"1,880.43",
1/7/2021,128665,CAMBRIA BICYCLE OUTFITTER,108783,23.000,K,00-802-22-56-15,RLT RDO 2-STAR MY22 - 56CM - - AVALANCHE GREY/SLATE,1,"1,880.43",
1/8/2021,129029,BG PARTNERS BILLING,108814,3.000,K,04-729-22-03-25,RKT RDO 2-STAR MY22 - SM - SAT - IN CARBON/MAGNETIC GREY,1,"2,099.50",
1/8/2021,129029,BG PARTNERS BILLING,108812,3.000,K,04-629-22-05-15,JET RDO 2-STAR MY22 - LG - MAG - NETIC GREY,1,"2,299.50",C1
1/9/2021,128870,LUIS A IBARRA II DBA POWAY BICYCLE,108833,4.000,K,04-669-22-06-15,JET RDO 5-STAR AXS LTD MY22 - - XL - MAGNETIC GREY,1,"5,609.45",C1
1/10/2021,128702,BIKE BLING,108842,3.000,K,03-531-22-05-10,AIR 3-STAR SS LTD MY22 - LG - - SILVER/BAJA BLUE,1,"1,264.45",C1
1/11/2021,128528,MOTOSPORTS LLC BILL,108864,2.000,K,02-601-21-04-15,JET 9 RDO V3 - FOX FLOAT X FAC - TORY - MD - MAGNETIC GREY,1,"1,732.50",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,369960,117.000,K,03-729-22-05-65,AIR RDO 2-STAR MY22 - LG - SAN - D/ORANGE,1,"1,649.45",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,369960,119.000,K,03-729-22-05-20,AIR RDO 2-STAR MY22 - LG - SAT - IN CARBON/SILVER,3,"4,948.35",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,369960,120.000,K,03-729-22-04-20,AIR RDO 2-STAR MY22 - MD - SAT - IN CARBON/SILVER,2,"3,298.90",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,369960,122.000,K,03-729-22-06-20,AIR RDO 2-STAR MY22 - XL - SAT - IN CARBON/SILVER,2,"3,298.90",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,369960,128.000,K,00-103-22-50-20,RLT STEEL 3-STAR MY22 - 50CM - - BLACK/BRONZE,1,"1,937.43",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,369960,130.000,K,00-103-22-53-70,RLT STEEL 3-STAR MY22 - 53CM - - EMERALD GREEN,2,"3,874.86",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,369960,131.000,K,00-103-22-56-70,RLT STEEL 3-STAR MY22 - 56CM - - EMERALD GREEN,2,"3,874.86",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,369960,132.000,K,00-103-22-59-20,RLT STEEL 3-STAR MY22 - 59CM - - BLACK/BRONZE,1,"1,937.43",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,369960,133.000,K,03-729-22-05-65,AIR RDO 2-STAR MY22 - LG - SAN - D/ORANGE,1,"1,649.45",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,370043,76.000,K,03-729-22-05-65,AIR RDO 2-STAR MY22 - LG - SAN - D/ORANGE,1,"1,649.45",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,370043,77.000,K,03-729-22-05-20,AIR RDO 2-STAR MY22 - LG - SAT - IN CARBON/SILVER,2,"3,298.90",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,370043,78.000,K,03-729-22-04-20,AIR RDO 2-STAR MY22 - MD - SAT - IN CARBON/SILVER,2,"3,298.90",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,370043,79.000,K,03-729-22-06-20,AIR RDO 2-STAR MY22 - XL - SAT - IN CARBON/SILVER,1,"1,649.45",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,370043,80.000,K,03-739-22-04-20,AIR RDO 3-STAR MY22 - MD - SAT - IN CARBON/SILVER,1,"2,391.95",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,370043,86.000,K,00-803-22-53-15,RLT RDO 3-STAR MY22 - 53CM - A - VALANCHE GREY/SLATE,1,"2,165.43",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,370043,87.000,K,00-103-22-53-70,RLT STEEL 3-STAR MY22 - 53CM - - EMERALD GREEN,2,"3,874.86",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,370043,88.000,K,00-103-22-56-70,RLT STEEL 3-STAR MY22 - 56CM - - EMERALD GREEN,2,"3,874.86",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,370043,89.000,K,00-103-22-59-20,RLT STEEL 3-STAR MY22 - 59CM - - BLACK/BRONZE,1,"1,937.43",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,370043,90.000,K,03-139-22-05-20,SIR 3-STAR MY22 - LG - CEMENT/ - BLACK/COPPER,1,"2,364.45",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,369960,1.000,K,02-601-21-05-15,JET 9 RDO V3 - FOX FLOAT X FAC - TORY - LG - MAGNETIC GREY,1,"1,732.50",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,369960,111.000,K,04-927-22-05-20,RIP RDO 2-STAR MY22 - LG - SAT - IN CARBON - 27.5,1,"2,639.45",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,369960,112.000,K,04-927-22-04-20,RIP RDO 2-STAR MY22 - MD - SAT - IN CARBON - 27.5,1,"2,639.45",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,370043,71.000,K,04-927-22-04-20,RIP RDO 2-STAR MY22 - MD - SAT - IN CARBON - 27.5,1,"2,639.45",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,370043,3.000,K,02-601-21-05-15,JET 9 RDO V3 - FOX FLOAT X FAC - TORY - LG - MAGNETIC GREY,1,"1,732.50",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,370043,4.000,K,02-601-21-04-15,JET 9 RDO V3 - FOX FLOAT X FAC - TORY - MD - MAGNETIC GREY,1,"1,732.50",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,370043,5.000,K,02-701-21-05-25,RKT 9 RDO - FOX FACTORY - LG - - SATIN CARBON/MAGNETIC GREY,1,"1,732.50",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,370043,93.000,K,00-003-22-56-80,RLT 3-STAR MY22 - 56CM - AZURE - BLUE,1,"1,652.43",
1/11/2021,128536,BACKCOUNTRY.COM/COMPETITIVE CYCLIST,370043,94.000,K,00-003-22-56-80,RLT 3-STAR MY22 - 56CM - AZURE - BLUE,1,"1,652.43",
1/12/2021,128566,BRITTON'S BICYCLE SHOP,108901,1.000,K,02-807-20-04-20,RIP 9 RDO - FOX FACTORY - MY20 - - 27.5 - MD - Satin Carbon,1,"2,016.00",
1/12/2021,128566,BRITTON'S BICYCLE SHOP,108901,2.000,K,02-809-20-05-20,RIP 9 RDO - FOX FACTORY - MY20 - - 29 - LG - Satin Carbon,1,"2,016.00",
1/12/2021,128566,BRITTON'S BICYCLE SHOP,108901,3.000,K,02-809-21-04-10,RIP 9 RDO - FOX FACTORY - 29 - - MD - SILVER/BAJA BLUE,1,"2,016.00",
1/13/2021,132673,TRADING POST OUTFITTERS LLC DBA JEFFERSO,108926,11.000,K,04-720-22-03-15,RKT RDO RS 2-STAR MY22 - SM - - GREY/ORANGE,1,"2,519.40",
1/13/2021,129285,HUTCH'S BICYCLE GARAGE LLC,108939,3.000,K,03-739-22-04-20,AIR RDO 3-STAR MY22 - MD - SAT - IN CARBON/SILVER,1,"2,391.95",C1
